year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.89,180,160,Europe and Central Asia,C006,6.8,11.8,9.240893659,678000,29.09074544,68.83445313,47.173,32.1,978.8,0.126,0.255,1.813,143.5,38,97.25226029,18.9,83.14285714,3.49
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.91,158,144,Europe and Central Asia,C006,6.5,11.4,9.139446278,778000,28.91307048,67.98800781,47.518,31.2,1139.7,0.171,0.253,1.673,157.1,39,97.26105802,18.3,78.14285714,3.49
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.95,122,116,Europe and Central Asia,C006,6.4,11.5,8.818039513,923000,29.48851564,67.18802734,47.876,29.9,924.1,0.138,0.175,1.419,139,38,97.26105802,18,77.28571429,3.49
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.94,141,133,Europe and Central Asia,C006,7.2,12.2,8.761013888,1053000,29.70884452,66.40876953,48.245,30.6,1015.2,0.174,0.303,2.275,149.3,38,97.26105802,17.9,75.28571429,3.49
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.97,229,222,Europe and Central Asia,C006,7.4,12.4,8.663792858,1198000,29.73446866,65.63888672,48.626,26.4,1191.3,0.186,0.208,1.987,155.4,36,97.26105802,17.67026824,75.28571429,3.49
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.98,348,341,Europe and Central Asia,C006,6.9,11.8,9.564900913,197000,29.15569976,64.81263672,49.02,27.3,968.7,0.136,0.14,1.88,139.3,35,97.26105802,17.52468813,75.28571429,3.49
2012,CRAB,Acinetobacter baumannii,Carbapenems,0.81,118,96,Europe and Central Asia,C004,3,6.8,5.11175194,6130000,33.80178661,46.5593029,75.697,16.9,772.9,0.0139,0.0759,1.561,169.8,31,53.63758214,17.4,86.85714286,11.27
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.92,288,265,Europe and Central Asia,C004,3.6,7.8,5.251633946,5375000,37.10062792,46.55060033,76.693,18.3,573.7,0.00705,0.0737,2.18,130.1,31,53.63758214,19.8,86.57142857,10.83
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.94,262,246,Europe and Central Asia,C004,4.3,8.5,5.915564254,4386000,38.82448153,46.61133719,77.181,15.5,539.8,0.00563,0.0184,2.247,141.9,32,53.63758214,20.1,85.85714286,10.83
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.82,330,271,Europe and Central Asia,C004,3.7,7.7,5.765196034,10935000,28.6386315,46.64994482,77.661,14.6,718.7,0.0125,0.0355,2.201,160.8,40,53.63758214,20.8,85.28571429,10.83
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.92,349,321,Europe and Central Asia,C004,3.8,7.6,5.612082195,11060000,30.51343725,46.59875953,78.134,14.7,761.1,0.0119,0.0842,1.592,169.8,44,53.63758214,21.4,85,10.83
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.96,393,377,Europe and Central Asia,C004,3.8,7.9,5.380450512,11502000,29.23060261,46.50105922,78.595,16.1,595.2,0.00805,0.12,2.342,140.8,44,53.63758214,21.7,93.42857143,10.83
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.96,347,333,Europe and Central Asia,C004,4.5,8.7,5.704032813,11832000,29.47939556,46.41075062,79.044,13.3,579.5,0.00842,0.0403,2.689,140.6,45,53.63758214,22.41929476,96.71428571,10.83
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.11,53,6,Europe and Central Asia,C049,3,6.4,10.62467762,8967000,67.21204899,204.7343366,73.674,13.4,1215.9,0.341,0.612,0.857,206.2,85,53.63758214,11.2,91.70746069,4.85
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.08,75,6,Europe and Central Asia,C049,4.2,7.8,10.79588177,9158000,67.90293986,207.2507514,73.696,10.7,986.6,0.558,0.873,2.704,166.5,86,53.63758214,11.7,91.99317498,4.73
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.11,64,7,Europe and Central Asia,C049,3.9,7.8,11.19578302,9305000,68.18316906,209.6266208,73.718,12,1308.4,0.268,0.455,2.069,207.6,86,53.63758214,11.8,91.99317498,4.73
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.07,73,5,Europe and Central Asia,C049,3.5,7.1,11.49004012,10402000,69.00454116,211.9315721,73.739,10.9,1248.2,0.302,0.553,1.841,198,86,53.63758214,11.7,91.99317498,4.69
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.04,69,3,Europe and Central Asia,C049,4.2,8,11.58292156,11715000,68.7792303,215.5000945,73.797,10.7,1235,0.236,0.379,1.844,197.3,85,53.63758214,11.4,90.12945208,4.63
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.05,64,3,Europe and Central Asia,C049,3.9,7.7,11.22862794,11818000,67.89052697,217.0427817,73.849,9.2,1075,0.312,0.452,1.568,166.4,85,53.63758214,11.4,90.12945208,4.63
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.11,83,9,Europe and Central Asia,C049,4,8.1,11.99442154,11818000,64.33704651,218.6344696,73.915,9.2,1254.5,0.255,0.405,2.943,195.7,85,53.63758214,11.4,91.41516637,4.63
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.57,171662,97847,East Asia and Pacific,C008,2.1,8,4.753874809,128499000,41.5543278,146.1258167,54.259,52.8,636.5,0.105,0.125,1.061,96.3,36,97.03880125,8,97.26473659,3.55
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.59,183178,108075,East Asia and Pacific,C008,2.5,8.2,4.912150283,133820000,39.81038955,146.9779493,55.5,49.9,653.9,0.11,0.131,1.295,102.3,37,97.03880125,8.6,97.26473659,3.79
2016,CRAB,Acinetobacter baumannii,Carbapenems,0.77,1208,930,East Asia and Pacific,C008,2.4,8.2,4.926735689,141774000,41.89695133,147.8226414,56.736,45.6,698.1,0.125,0.158,1.318,102.8,40,97.03880125,8.8,97.26473659,4.02
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.82,1563,1282,East Asia and Pacific,C008,2.5,8.4,4.997008684,153260000,43.32621025,148.7200435,57.96,43.3,645.7,0.112,0.132,1.572,98.4,41,97.03880125,8.3,97.26473659,4.31
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.561,227091,127398,East Asia and Pacific,C008,2.1,8,5.096051588,158606000,43.5829288,149.4171945,59.152,38.7,658.1,0.108,0.105,1.36,100.6,39,97.07455813,8,97.26473659,4.31
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.56,239890,134338,East Asia and Pacific,C008,2.4,8.3,5.319007836,162538000,44.02028943,149.9481797,60.308,37.4,637.6,0.115,0.151,1.422,98.9,41,97.10924291,8,97.12187945,4.31
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.537,219921,118098,East Asia and Pacific,C008,2.3,8.2,5.591631821,30402000,45.27583334,150.3055428,61.428,34,665.1,0.126,0.152,1.62,98.2,42,97.14284025,8,97.26473659,4.31
2021,CRAB,Acinetobacter baumannii,Carbapenems,0.543,241383,131071,East Asia and Pacific,C008,2.6,8.5,5.826679732,380616155.5,47.94516083,150.4738725,62.5119397,32.1,674,0.114,0.129,1.702,99.9,45,97.17866603,8,102.2961662,4.282104754
2022,CRAB,Acinetobacter baumannii,Carbapenems,0.534,298753,159534,East Asia and Pacific,C008,2.4,8.3,5.949905961,1205170466,52.6658131,150.4457126,63.5598191,32.1,622.1,0.102,0.128,1.904,96.6,45,97.21670491,8,103.1608576,4.226314263
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.606,33,20,Europe and Central Asia,C010,14.4,19.3,6.896210847,2626000,53.31784754,126.2952381,67.137,18.5,359.5,0.017,0.000336,1.232,60.5,63,53.63758214,23.9,93.41516637,3.41
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.776,58,45,Europe and Central Asia,C010,14.7,19.4,6.886956583,2558000,56.38588401,127.3804113,67.031,18.5,475.4,0.011,0,2.004,70.6,63,53.63758214,22.2,93.41516637,3.42
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.831,59,49,Europe and Central Asia,C010,14,18.8,6.799103742,2780000,56.78711161,128.4935065,66.946,17.8,519.6,0.0247,0.000577,1.895,72.4,61,53.63758214,26.6,93.70088066,3.42
2017,CRAB,Acinetobacter baumannii,Carbapenems,0.76,50,38,Europe and Central Asia,C010,14.3,19.1,6.658437891,3750000,58.11733405,130.7925325,66.836,17.7,369.3,0.0153,0,1.523,61.6,57,53.63758214,28.9,93.55802351,3.4
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.842,57,48,Europe and Central Asia,C010,15.3,20,6.87202797,4024000,57.6060703,131.9081169,66.81,15.9,570.8,0.0192,0,2.282,75.7,59,53.63758214,28.3,93.98659494,3.4
2019,CRAB,Acinetobacter baumannii,Carbapenems,0.875,32,28,Europe and Central Asia,C010,14.7,19.4,6.727328208,4117000,44.11381188,132.9909091,66.805,16.4,654.9,0.0547,0.000336,2.082,81.4,58,53.63758214,27.67393508,91.70088066,3.4
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.81,58,47,Europe and Central Asia,C010,14.9,19.7,7.770263086,4117000,21.48819168,133.9325758,66.821,16.8,494.5,0.0369,0.000626,1.989,73.7,57,53.63758214,27.3257806,91.70088066,3.4
2021,CRAB,Acinetobacter baumannii,Carbapenems,0.921,216,199,Europe and Central Asia,C010,15,19.8,11.67848438,4115023.436,5.326565412,134.6177633,66.85783383,16.4,425.6,0.0165,0.000336,1.582,63.2,53,53.63758214,27.13217202,96.55763015,3.403816527
